Station,TYPE,OK,NG,Time,Date
Lens Bonding,TX,133,1,10:00,08/10/2025
Lens CCD  Position Check,TX,132,0,10:00,08/10/2025
IC Bonding,RX,126,0,10:00,08/10/2025
Incoming Check,RX,160,9,10:00,08/10/2025
Module Dispensing,RX,506,0,10:00,08/10/2025
U Lens,TX,137,0,10:00,08/10/2025
Lens Bonding,TX,75,0,12:00,08/10/2025
Lens CCD  Position Check,TX,74,1,12:00,08/10/2025
Wire Bonding,TX,143,0,10:00,08/10/2025
Wire Bonding,TX,81,0,12:00,08/10/2025
Wire Checking,TX,143,0,10:00,08/10/2025
Wire Checking,TX,81,0,12:00,08/10/2025
U Lens,TX,108,0,12:00,08/10/2025
Module Dispensing,TX,500,0,12:00,08/10/2025
Module Dispensing,RX,509,0,12:00,08/10/2025
Pd/VC Bonding,RX,160,0,12:00,08/10/2025
Packing,TX,40,0,15:00,08/10/2025
Pd/VC Bonding,RX,48,0,15:00,08/10/2025
Wire Bonding,TX,151,0,15:00,08/10/2025
Wire Checking,TX,151,0,15:00,08/10/2025
Incoming Check,RX,157,1,15:00,08/10/2025
Lens Bonding,TX,169,0,15:00,08/10/2025
Lens CCD  Position Check,TX,169,0,15:00,08/10/2025
Check Connector,TX,138,0,15:00,08/10/2025
BERT Test,TX,202,3,15:00,08/10/2025
U Lens,TX,136,0,15:00,08/10/2025
Dispensing Reverse,TX,202,0,15:00,08/10/2025
Lens Bonding,TX,72,0,17:00,08/10/2025
Lens Bonding,TX,72,0,17:00,08/10/2025
Lens CCD  Position Check,TX,72,0,17:00,08/10/2025
Packing,TX,162,0,17:00,08/10/2025
Incoming Check,RX,64,0,17:00,08/10/2025
Dispensing Reverse,TX,169,0,17:00,08/10/2025